MT,F-actin,IF
4198.025,12293.25,48542.3
1785.65,10891.7625,75685.4
4534.675,10936.35,44239.4625
5014.575,12433.4375,63308.825
9789.225,25639.65,75983.8875
6413.8125,10469.2875,36697.45
10699.0125,19487.65,121702.525
8469.1,16673.875,54085.3875
5246.3375,28004.4375,31661.4125
10645.2375,26299.5875,82925.1875
13615,22856.5125,95887.95
13445.3,29761.25,37516.9875
7999.3125,22314.275,54007.925
12524.8,27370.5625,91387.0875
6828.75,17228.55,108064.9
6532.2625,20420.7,35958.6
1357.6,7161.7875,31164.7125
3190.9375,12820.4125,73689.35
6362.85,16572.9,76879.9625
4608.075,10963.475,42383.8125
3935.85,12689.55,37089.125
4373.475,9406.025,24289.55
2160.5125,7459.55,19110.3125
1653.5375,7682.9,87674.475
6878.7,10932.275,52479.5625
2621.2375,6164.6875,19603.575
2044.3625,6391.7,23653.3125
3304.8125,7125.55,58510.2375
1115.5625,4439.3375,13884.3375
2835.825,15676.2375,82983.825
3517,12676.725,51179.0875
9231.0875,34478.0125,117387
6381.775,24815.7875,48014.4375
8460.9,16835.45,30215.6
14865.4375,33716.3125,205760.8875
3871.3125,14491.575,65941.4375
4929.825,24328.2625,28681.7375
9921.2,18933.1125,64856.5125
2184.9125,7308.075,34674.7875
1720.65,14082.5875,27144.9625
1514.4125,12287.0375,66819.725
7968.8625,28235.35,117844.5875
12599.825,29031.6625,109335.4
10232.5375,34617.925,112564.425
2969.1375,18204.8875,78748.8125
2281.5625,12441.9875,26732.175
2690.5625,8704.625,56964.2875
5005.3875,14792.725,90078.5125
11277.0375,29647.75,107764.975
12494.1625,33658.825,76283.25
8829.925,33243.5625,76503.2125
1284.55,10326.125,59137.1875
3602.9125,13293.2875,31190.825
10032.15,32574.8375,107484.1125
4867.2,28617.3375,178800.2875
16829.6375,35749.3125,230179.575
14893.4375,45019.1125,135985.625
10005.5625,18994.7125,94472.15
19811.5125,61238.7125,155139.3875
4034.025,25356.275,47310.3375
13802.3375,27673.2625,37872.125
10558.3125,41731.5875,113548.45
5187.225,19013.8125,59603.9125
2194.35,13684.925,30191.2625
3247.6875,13624.3,47342.875
4115.125,16309.6125,40011.65
2272.675,9835.25,37963.4625
4242.4625,29096.0625,70285.2
1650.1125,15885.475,47999.5625
2771.9375,16076.05,24229.75
3542.3625,9409.35,14572.0875
2346.475,7358.3375,26530.725
4997.8375,8992.7375,14901.4
3800.3375,29067.8125,144164.275
4970.25,22976.6875,146812.2125
14483.975,34717.7,117495.1875
10984.0125,33183.2125,147118.4125
6784.9,29676.175,95270.8125
12683.225,34040.8625,126360.0625
13452.2875,39016.7625,100141.975
8458,25587.225,71113.95
4264.6625,27355,116837.25
3984.95,26187.1875,91313.025
4665.7625,20022.4875,80633.45
2428.125,10449.4375,42831.175
2732.2875,22868.575,63681.9875
2842.5375,17185.2875,63060.3875
3254.775,15912.125,40310.25
4336.7125,20370.775,36710.475
1195.9,12056.175,34036.6625
4739.5625,8068.9875,21303.4625
5428.6625,9070.0375,28260.8375
5151.9375,15213.3375,75579.1
11829.8375,23798.2,103719.1875
7016.5625,19654.575,68751.45
16496.45,28137.05,94168.775
12513.9125,22139.4375,116914.9
14802.2625,40810.25,136285.5875
7847.275,29716.1625,120600.0375
5772.7,21090.3,143489.6875
4844.775,19783.1125,74983.9375
4118.45,14212.35,81149.9
4551.075,15526.3125,70419.2
8890.825,30762.9375,107814.2125
1272.525,11894,38719.3375
1778.6,16200.3375,34795.5625
4970.6375,25526.6125,55993.525
3268.375,7654.9,30948.275
17229.7,29447.9125,146890.475
5684.9,18050.925,36242.0125
12423.6,33320.3625,159933.2375
8569.8,15636.7125,41218.7
12324.425,28453.1125,68423.825
11908.1625,40684.0375,92441.1375
9841.65,21193.525,64034.3625
8064.7,9193.975,79395.75
7933.7375,10886.175,109482.65
13271.0625,25727.125,97813.7125
3622.0375,10170.0875,86369.4625
3656.3125,31605.25,101390.9875
4619.9,16982,17594.5875
2987.2625,10082.6375,63529.725
3416.1375,16935.4,47250.95
1484.025,12115.1375,51454.5375
1608.25,7994.1625,25585.7125
